City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Fall,Snow Fall
473,Saint-Ambroise,CA,2020-04-20 00:20:41,48.55,-71.33,36.0,91,100,5.99,light snow,0.0,0.25
474,Chateaubelair,VC,2020-04-20 00:20:41,13.28,-61.25,77.0,76,4,1.01,clear sky,0.0,0.0
475,Boguchany,RU,2020-04-20 00:20:41,58.38,97.45,30.52,86,0,5.88,clear sky,0.0,0.0
476,Loukhi,RU,2020-04-20 00:20:42,66.08,33.04,29.7,97,61,5.35,broken clouds,0.0,0.0
477,Nanortalik,GL,2020-04-20 00:20:38,60.14,-45.24,28.4,89,6,9.46,clear sky,0.0,0.0
478,Aginskoye,RU,2020-04-20 00:20:42,51.1,114.53,22.08,72,66,17.05,broken clouds,0.0,0.0
479,Ostersund,SE,2020-04-20 00:20:42,63.18,14.64,37.4,86,56,9.17,broken clouds,0.0,0.0
480,Ibotirama,BR,2020-04-20 00:20:43,-12.19,-43.22,71.73,81,83,3.53,light rain,0.58,0.0
481,Coelho Neto,BR,2020-04-20 00:20:43,-4.26,-43.01,75.15,94,100,3.56,moderate rain,3.71,0.0
482,Nizhniy Tsasuchey,RU,2020-04-20 00:20:43,50.52,115.13,23.23,72,4,20.45,clear sky,0.0,0.0
483,Aksarka,RU,2020-04-20 00:20:43,66.56,67.8,33.1,94,100,6.93,overcast clouds,0.0,0.0
484,Trinidad,BO,2020-04-20 00:20:44,-14.83,-64.9,73.35,76,9,1.07,clear sky,0.0,0.0
485,Tecolutla,MX,2020-04-20 00:20:44,20.48,-97.02,91.4,59,5,6.93,clear sky,0.0,0.0
486,Bathsheba,BB,2020-04-20 00:20:44,13.22,-59.52,80.6,69,20,17.22,few clouds,0.0,0.0
487,Vestmannaeyjar,IS,2020-04-20 00:20:44,63.44,-20.27,46.08,93,100,28.1,light rain,0.2,0.0
488,Sapucaia,BR,2020-04-20 00:20:45,-29.83,-51.15,69.01,82,0,9.17,clear sky,0.0,0.0
489,Alugan,PH,2020-04-20 00:20:45,12.22,125.48,82.29,82,94,12.95,light rain,0.36,0.0
490,Jitauna,BR,2020-04-20 00:20:45,-14.02,-39.89,73.09,82,100,2.82,light rain,0.17,0.0
491,Roma,US,2020-04-20 00:17:18,43.21,-75.46,45.0,87,90,8.05,moderate rain,0.0,0.0
492,Bhatgaon,IN,2020-04-20 00:20:46,21.15,81.7,80.78,40,28,6.06,scattered clouds,0.0,0.0
